Gene locus,mass fraction
b0095,0.001176069
b2800,0.0
b2802,0.0
b2803,0.0
b2799,0.0
b2801,0.0
b2805,0.0
b2804,0.0001346793
b1612,0.0009243136
b4122,9.856637e-06
b1611,0.000117592
b0683,0.0003625519
b3340,0.008498893
b4140,2.095422e-05
b2661,0.0001352398
b2663,0.0
b2662,0.0001253838
b3517,3.177296e-05
b1493,0.0001820406
b1492,0.0
b3512,0.0
b3515,0.0
b3516,0.0
b0759,0.0001289767
b2042,0.0
b0757,5.33637e-05
b0756,0.0002705012
b2943,0.0
b2837,0.0
b2151,0.0
b0758,3.808906e-05
b1236,0.0006210326
b1779,0.01956398
b1417,3.361042e-05
b1416,0.0
b3128,0.0
b3124,0.0
b3126,0.0
b3127,0.0
b3125,1.712704e-05
b2094,0.0
b2093,0.0
b2092,0.0
b2091,0.0
b2087,9.658093e-06
b2090,0.0
b2096,0.001815068
b2095,0.0
b0124,0.0002432154
b0507,0.0
b2808,2.762453e-05
b2904,0.0003226772
b2903,0.000544736
b2479,0.0001219126
b2905,0.0002489381
b1761,0.0002528792
b0987,0.0
b0986,0.0
b0985,0.0
b0984,0.0
b0983,0.0
b3447,0.0001625215
b4128,0.0
b4559,0.0
b1033,0.0002757395
b3553,0.0006343807
b4064,0.000194623
b4464,3.737346e-06
b2975,0.0
b2976,0.0001691775
b2980,0.0
b2979,0.0
b4468,0.0
b4467,0.0
b2977,2.315077e-05
b3945,3.622571e-05
b2036,0.0
b3429,0.0003816558
b3432,0.0003551042
b3430,0.0004018419
b3428,0.0004471999
b3049,0.0
b3431,0.0001824019
b2388,0.0001605089
b3176,0.0003840046
b3729,0.0009420746
b3730,0.0002628547
b3870,0.005354418
b2553,0.0002228375
b0167,0.0001531209
b3053,0.0001851645
b3868,0.000113476
b0811,0.000568076
b0450,9.652339e-06
b3869,2.75112e-05
b0810,4.355941e-05
b0809,0.0001165788
b0680,0.0006320486
b1651,0.0002813145
b0212,7.249977e-05
b0927,0.000153627
b2241,0.0
b2242,0.0
b2243,0.0
b3426,8.337536e-05
b3425,0.0
b3927,0.0
b3424,1.77465e-05
b3926,0.0001392346
b2239,3.517653e-05
b3423,0.0
b2240,7.193914e-05
b3925,4.671162e-05
b2556,0.0
b2554,3.974146e-05
b0720,0.007349842
b3212,0.002364121
b3213,0.0006491476
b3214,0.0
b0655,0.001763825
b0654,3.633432e-05
b0653,4.279415e-05
b0652,0.0001986498
b4077,0.0
b3653,0.0
b2400,0.0008603759
b0144,9.642029e-06
b3682,0.0
b3683,0.0
b3681,0.0
b0514,0.0
b0509,0.0
b2551,0.007443084
b3560,0.0003507221
b3559,0.0009426733
b2053,0.0
b0200,9.23541e-05
b3648,7.250997e-05
b2051,0.0
b2029,0.003067073
b4517,5.141886e-05
b1550,0.0003067909
b3437,0.0
b4321,0.0
b3438,4.894164e-05
b3415,0.0
b4476,0.0
b3413,0.0
b3500,0.0003934537
b3385,0.0001049525
b0755,0.002032849
b3612,0.001260368
b3779,6.378381e-05
b3608,9.465349e-05
b0238,0.0002455459
b2579,0.0001271008
b3181,0.000200836
b3406,2.538241e-05
b4143,0.004099412
b4142,0.0008888504
b2614,0.0007682453
b0849,2.154497e-05
b1064,0.0005373547
b3610,0.0001896692
b1654,0.000956732
b2688,0.0003107224
b2947,0.0003994233
b0829,0.0001257228
b0830,0.0002928901
b0831,2.078561e-05
b0832,2.244978e-05
b0477,0.0001069059
b3323,0.0
b3322,0.0
b3324,0.0
b3325,0.0
b3326,0.0
b3327,0.0
b3328,0.0
b3329,0.0
b3330,0.0
b3331,0.0
b3332,0.0
b3333,0.0
b3334,0.0
b3335,0.0
b2988,0.0003386104
b1635,0.0002398879
b0838,0.0005672999
b2507,0.0007484334
b2508,0.0007376985
b0104,0.0008034448
b2883,0.0
b2787,3.024509e-05
b2789,0.0
b2788,0.0
b2706,0.0
b2708,5.630171e-05
b2231,0.0009626964
b3699,0.0007590531
b2541,0.0
b2540,0.0
b2542,0.0
b2538,0.0
b2539,0.0
b2537,0.0
b2536,0.0
b1967,0.0002337618
b0873,0.0
b0872,0.0
b2496,1.645122e-05
b3510,0.0
b3509,6.548398e-05
b3511,3.034249e-05
b4480,4.008336e-05
b1619,0.0001835122
b0962,8.46815e-05
b1210,0.0
b0369,0.0002533393
b3805,0.0001024188
b3804,2.750616e-05
b3997,0.0001758338
b2436,0.0
b3850,4.797619e-05
b0475,4.588936e-05
b0154,0.0005582202
b3867,0.0001569711
b3803,0.0002016127
b3802,0.0001133452
b4175,0.0002903667
b1132,7.176167e-05
b4174,0.0003918457
b4173,0.0001753183
b4172,0.0006842154
b0460,0.0001035423
b4532,0.0
b1438,0.0
b3082,0.0
b3083,0.0
b1103,0.0002568426
b1507,0.0
b1508,0.0
b2024,0.0003167518
b2022,0.001015315
b2021,0.0007747555
b2020,0.0007600421
b2025,0.0004401916
b2019,0.0009149676
b2023,0.0003735219
b2026,0.0005473808
b2309,0.002182822
b2018,0.0
b2307,6.92053e-05
b2306,0.0002181536
b2308,6.355008e-05
b2514,0.0004621553
b1182,0.0
b2552,5.798308e-05
b1237,0.005163922
b0107,0.0
b0106,0.0
b3395,0.0
b3394,0.0
b3393,0.0
b3392,0.0
b3391,0.0
b4455,0.0
b4428,0.0
b4412,0.0
b1562,0.0
b4415,0.0
b0640,0.0
b1099,0.0
b4259,1.559956e-05
b4372,0.0
b1842,5.329362e-05
b3203,0.000219725
b0125,0.0001367938
b1413,0.0001720485
b0148,1.828708e-05
b2526,0.0003272172
b2527,7.686201e-05
b0650,0.0
b4349,0.0001805689
b4350,0.0001376234
b4348,5.937703e-05
b1379,7.873773e-05
b3401,0.0002356391
b3400,2.365631e-05
b3931,0.0004992486
b3932,0.0001523907
b0966,1.657599e-05
b3754,0.0
b0012,0.0
b0473,0.0009855699
b1829,0.0003003531
b0139,0.0
b3618,0.0
b4000,0.003232625
b0440,0.002151344
b0972,0.0
b0973,3.593271e-06
b0974,0.0
b0975,0.0
b0976,0.0
b0977,0.0
b2996,0.0001288836
b2995,0.0
b2994,0.0
b2993,4.734595e-06
b2992,0.0
b2991,0.0
b2990,0.0
b2997,0.0
b2725,0.0
b2724,0.0
b2723,0.0
b2722,0.0
b2721,0.0
b2720,0.0
b2719,0.0
b2718,0.0
b2717,9.977582e-06
b2713,0.0
b2481,4.243883e-05
b2482,0.0
b2483,0.0
b2484,0.0
b2485,0.0
b2486,0.0
b2487,0.0
b2488,0.0
b2489,0.0
b2490,0.0
b2491,0.0004231494
b0508,0.0
b2726,0.0
b2727,1.138566e-05
b2728,0.0
b2729,9.464093e-06
b2730,0.0
b2712,0.0
b4327,0.0
b2873,0.0
b0828,7.413757e-05
b4328,8.722926e-05
b2753,4.512789e-06
b3190,0.0001055366
b3687,4.332508e-05
b3686,0.0
b1136,0.01492176
b4519,0.0
b4018,0.0001191206
b2889,0.0
b4267,0.0
b4268,0.0
b4266,0.0
b4264,0.0
b4265,0.0
b1712,0.0003672527
b0912,0.0009786074
b0026,0.001759061
b3772,0.0009882723
b3671,0.0006348726
b3774,0.003627959
b3771,0.002579721
b3770,0.003576301
b3767,0.0006507238
b3768,0.0
b0078,0.0002120954
b0077,0.0005692908
b3766,0.0
b3769,0.0002033526
b3670,0.0001100518
b4669,0.0
b3773,5.641802e-06
b2237,0.0
b0884,0.0002545217
b3168,0.002020247
b1718,0.0008640363
b0022,0.0
b0265,0.0
b0275,0.0
b4516,0.0
b1894,0.0
b3444,0.0
b4294,0.0
,0.0
b0021,0.0
b0264,0.0
b0988,0.0
b0360,0.0
b1403,0.0
b1997,0.0
b2861,0.0
b3044,0.0
b4272,0.0
b1578,0.0
b0361,0.0
b0298,0.0
b0373,0.0
b0540,0.0
b1027,0.0
b2088,0.0
b0299,0.0
b4278,0.0
b0259,0.0
b3218,0.0
b3505,0.0
b0552,0.0
b0656,0.0
b1331,0.0
b1370,0.0
b1994,0.0
b2030,0.0
b2192,0.0
b2982,0.0
b0256,0.0
b1404,0.0
b4284,0.0
b3557,0.0
b3558,0.0
b0016,0.0
b0582,0.0
b2394,0.0
b0255,0.0
b4283,0.0
b0257,0.0
b4285,0.0
b2622,0.0
b4271,0.0
b0537,0.0
b1140,0.0
b0281,0.0
b1936,0.0
b1579,0.0
b1345,0.0
b2349,0.0
b2442,0.0
b4326,0.0
b1160,0.0
b0382,0.0001320707
b4706,0.0
b2528,0.0001815607
b2531,0.0007976815
b2530,0.00329988
b2529,0.001586702
b2524,0.000119094
b0421,6.494646e-05
b3187,0.0001111058
b2747,2.985024e-05
b1208,4.903511e-05
b2746,8.472736e-05
b2515,0.0002407557
b0029,0.0001314363
b0174,6.12942e-05
b3672,0.0
b0220,0.0001775527
b1732,0.0005287841
b3942,0.001562384
b3137,0.0
b3132,0.0
b3617,3.454361e-05
b1250,4.012117e-05
b3526,8.746611e-05
b1827,0.0001880053
b3909,0.0
b0698,0.0
b0697,0.0
b0696,0.0
b0695,4.176948e-05
b0694,1.700777e-05
b4513,0.0
b1215,0.0005965947
b0918,0.0002045037
b3198,7.014369e-05
b3197,0.0001316204
b2842,0.0
b2843,0.0
b3350,0.0
b0047,1.568698e-05
b0046,0.0
b3351,1.745973e-05
b2587,0.0003579804
b1352,0.0
b4331,0.0
b3747,0.0
b0342,0.0
b0345,0.0005040935
b0343,0.0
b0344,0.0001499485
b0230,0.0
b4036,5.355863e-05
b1279,3.937577e-05
b1280,3.826903e-05
b1192,6.59659e-05
b0186,0.0
b1380,0.0004046636
b4419,0.0
b4421,0.0
b4423,0.0
b4453,0.0
b1990,3.069488e-05
b0819,0.0003647157
b1113,0.0
b0925,9.443444e-05
b1678,8.151046e-05
b2569,0.0004179445
b2568,0.0001082269
b0074,0.0009968126
b0073,0.0008390518
b0072,0.0006817712
b0071,0.0004391608
b1798,0.0
b0075,0.0
b0076,0.0
b0642,0.001180309
b4043,0.0001278042
b0229,0.0
b4358,0.0
b4357,0.0
b4356,0.0
b2828,0.0
b2660,0.0
b1653,0.0
b2411,0.000119254
b3647,0.0
b0628,0.0002295021
b0630,5.883718e-05
b1139,0.0
b3454,0.0001334396
b3455,8.955604e-05
b3457,0.0
b3460,0.005157234
b3458,0.0003336634
b3456,0.0
b3605,8.390082e-05
b3603,0.0
b3604,0.0
b0657,5.760187e-05
b2936,0.0001055163
b0891,0.0001291521
b1209,0.0001109046
b1116,6.271473e-05
b1117,8.339359e-05
b1118,4.765857e-05
b1369,0.0
b1371,0.0
b0439,0.001292256
b0222,0.0002774036
b0116,0.005744154
b4386,5.227567e-05
